Rk,Squad,MP,W,D,L,GF,GA,GDiff,Pts,xG,xGA,xGDiff,xGDiff/90,Last 5,Attendance
1,Bayern Munich,18,13,3,2,53,25,28,42,39,23.6,15.4,0.86,W L W W W,
2,RB Leipzig,18,10,5,3,31,17,14,35,32.7,16.8,15.9,0.88,W L D W L,2000
3,Leverkusen,18,9,5,4,32,18,14,32,23.5,18.5,5.1,0.28,L D L W L,671
4,Wolfsburg,18,8,8,2,27,19,8,32,26.5,22.9,3.7,0.2,L D D W W,1144
5,M'Gladbach,18,8,7,3,35,28,7,31,31.1,23.9,7.2,0.4,W W D W W,1068
6,Eint Frankfurt,18,7,9,2,35,27,8,30,30.9,24.9,6,0.33,W W W D W,1813
7,Dortmund,18,9,2,7,35,26,9,29,37.6,20.6,17,0.95,W W D L L,2638
8,Union Berlin,18,7,7,4,33,23,10,28,26,19,6.9,0.39,W D W L L,1500
9,Freiburg,18,7,6,5,33,29,4,27,28.3,27.9,0.4,0.02,W W L D W,320
10,Stuttgart,19,6,7,6,35,29,6,25,37.1,27.6,9.5,0.5,W D L L W,2078
11,Hoffenheim,18,6,4,8,28,30,-2,22,29.2,31.8,-2.6,-0.14,L L D W W,670
12,Augsburg,18,6,4,8,19,27,-8,22,17.4,29.4,-12,-0.67,W L L L W,600
13,Werder Bremen,18,5,6,7,23,26,-3,21,18,25,-7,-0.39,L D W L W,1088
14,Hertha BSC,18,4,5,9,24,32,-8,17,23,25.1,-2.2,-0.12,W L D L L,889
15,Arminia,18,5,2,11,14,29,-15,17,12.8,29.4,-16.6,-0.92,L W D W L,546
16,Koln,18,3,6,9,15,31,-16,15,18.1,31.2,-13,-0.72,L L D W L,67
17,Mainz 05,19,2,4,13,18,40,-22,10,23.5,32.7,-9.2,-0.48,L D L W L,375
18,Schalke 04,18,1,4,13,14,48,-34,7,15.4,39.9,-24.5,-1.36,L W L L L,30
