Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,3-Jan,CPA,Mis,Dis,Targ,Rec,Rec%,MV
Arminia,24,44.3,18,10327,1627,4514,4519,1909,254,9504,143,260,55,165,18,6063,29107,15532,459,158,39,189,230,7522,6178,82.1,45.15
Augsburg,22,43.1,18,10132,1398,4246,4614,1901,280,9283,185,304,60.9,198,11,6040,32206,16514,519,174,40,255,228,7589,6012,79.2,104.28
Bayern Munich,25,62.7,18,13802,1017,3608,6871,4203,698,12909,212,332,63.9,230,14,9353,49148,26129,1160,316,111,297,216,11395,9880,86.7,891.4
Dortmund,25,62.2,18,14571,1183,4161,7486,3931,620,13767,269,413,65.1,282,21,10295,52918,27504,1146,336,107,225,214,12028,10664,88.7,615.2
Eint Frankfurt,24,52.5,18,11430,1214,3692,5608,2798,443,10557,152,261,58.2,164,14,6610,35227,18981,762,212,86,222,191,8876,7165,80.7,186.2
Freiburg,22,44.8,18,10108,1281,3885,4431,2434,384,9240,146,256,57,152,10,5921,31525,16029,538,187,63,191,165,7470,6156,82.4,111.7
Hertha BSC,24,52.8,18,11116,1181,4096,5244,2551,410,10224,184,311,59.2,201,7,7188,41609,22234,767,238,81,194,241,8532,7139,83.7,251.93
Hoffenheim,28,50.2,18,11389,1217,3918,5377,2843,426,10468,196,334,58.7,212,20,7312,36092,19904,715,227,72,293,232,8737,7339,84,238.33
Koln,25,42.3,18,9963,1345,4110,4303,2065,266,9075,133,242,55,148,5,5527,27717,14095,475,141,30,262,183,7229,5847,80.9,101.81
Leverkusen,24,61.4,18,13802,1266,4425,7322,3085,404,12941,238,400,59.5,253,15,9563,48463,25766,910,289,75,253,230,11187,9747,87.1,343.45
M'Gladbach,22,52.2,18,12116,1352,4359,5981,2502,427,11233,155,256,60.5,161,7,7484,37429,20845,803,207,83,218,202,9272,8057,86.9,343.13
Mainz 05,30,39.8,19,10043,1309,3742,4553,2308,329,9096,160,275,58.2,175,9,5646,28638,15733,534,169,49,246,220,7164,5629,78.6,89.55
RB Leipzig,23,58.7,18,13274,1082,3711,7126,3249,501,12428,174,287,60.6,193,6,8700,41546,22420,933,267,71,235,257,10728,9196,85.7,552.68
Schalke 04,30,45.6,18,10162,1339,4008,4722,2045,328,9259,194,341,56.9,212,10,6060,30873,15848,554,163,44,255,242,7421,6090,82.1,165.8
Stuttgart,25,51.5,19,12102,1492,4347,5635,2901,509,11137,290,442,65.6,307,19,7719,41135,22941,880,250,93,270,322,9162,7752,84.6,103.45
Union Berlin,25,43.4,18,10154,1186,3992,4607,2185,311,9328,111,194,57.2,124,6,5785,32125,17231,579,202,66,252,188,7681,6091,79.3,60.6
Werder Bremen,26,43.2,18,10178,1274,3929,4807,2004,280,9272,120,232,51.7,132,13,5872,29208,15533,525,144,36,213,177,7470,6071,81.3,107.2
Wolfsburg,25,50.6,18,11251,1186,3704,5495,2737,412,10409,149,244,61.1,166,11,6597,34340,18363,689,226,64,239,211,8367,6931,82.8,218.55
