,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA
Arminia,24,26.7,44.3,18,198,1620,18,12,9,0,0,29,0,0.67,0.5,1.17,0.67,1.17,12.8,12.8,9.5,0.71,0.53,1.24,0.71,1.24
Augsburg,22,27.6,43.1,18,198,1620,18,18,13,0,1,39,3,1,0.72,1.72,1,1.72,17.4,16.6,13.4,0.97,0.74,1.71,0.92,1.67
Bayern Munich,25,28,62.7,18,198,1620,18,53,43,6,6,25,1,2.94,2.39,5.33,2.61,5,39,34.5,29.5,2.17,1.64,3.81,1.92,3.55
Dortmund,25,26.2,62.2,18,198,1620,18,35,28,1,3,26,0,1.94,1.56,3.5,1.89,3.44,37.6,35.1,28.2,2.09,1.57,3.66,1.95,3.52
Eint Frankfurt,24,28.4,52.5,18,198,1620,18,31,23,6,6,45,1,1.72,1.28,3,1.39,2.67,30.9,26.4,23.1,1.72,1.28,3,1.47,2.75
Freiburg,22,26.8,44.8,18,198,1620,18,32,20,4,4,30,0,1.78,1.11,2.89,1.56,2.67,28.3,25.2,16.2,1.57,0.9,2.47,1.4,2.3
Hertha BSC,24,26.2,52.8,18,198,1620,18,23,16,2,4,32,1,1.28,0.89,2.17,1.17,2.06,23,20,15.9,1.28,0.88,2.16,1.11,1.99
Hoffenheim,28,26.4,50.2,18,198,1620,18,28,19,5,6,41,4,1.56,1.06,2.61,1.28,2.33,29.2,24.7,17.7,1.62,0.98,2.61,1.37,2.36
Koln,25,25.1,42.3,18,198,1620,18,14,11,1,2,36,1,0.78,0.61,1.39,0.72,1.33,18.1,16.6,10.7,1.01,0.59,1.6,0.92,1.52
Leverkusen,24,26.3,61.4,18,198,1620,18,31,25,2,2,31,0,1.72,1.39,3.11,1.61,3,23.5,22.1,16,1.31,0.89,2.2,1.23,2.12
M'Gladbach,22,27.7,52.2,18,198,1620,18,35,21,7,7,35,1,1.94,1.17,3.11,1.56,2.72,31.1,25.8,17.7,1.73,0.99,2.71,1.44,2.42
Mainz 05,30,26,39.8,19,209,1710,19,18,12,2,2,40,1,0.95,0.63,1.58,0.84,1.47,23.5,22,18.2,1.24,0.96,2.19,1.16,2.11
RB Leipzig,23,25.6,58.7,18,198,1620,18,30,19,5,7,31,0,1.67,1.06,2.72,1.39,2.44,32.7,27.5,21.4,1.82,1.19,3,1.53,2.71
Schalke 04,30,26.6,45.6,18,198,1620,18,13,10,0,1,44,1,0.72,0.56,1.28,0.72,1.28,15.4,14.6,10.8,0.85,0.6,1.45,0.81,1.41
Stuttgart,25,24.7,51.5,19,209,1710,19,35,24,6,7,39,1,1.84,1.26,3.11,1.53,2.79,37.1,31.8,24.7,1.95,1.3,3.25,1.68,2.98
Union Berlin,25,28,43.4,18,198,1620,18,33,25,3,5,33,1,1.83,1.39,3.22,1.67,3.06,26,22.1,16.9,1.44,0.94,2.38,1.23,2.16
Werder Bremen,26,26.6,43.2,18,198,1620,18,22,16,4,4,41,1,1.22,0.89,2.11,1,1.89,18,15,10.2,1,0.56,1.56,0.83,1.4
Wolfsburg,25,26.2,50.6,18,198,1620,18,27,21,2,3,31,1,1.5,1.17,2.67,1.39,2.56,26.5,24.5,18.8,1.47,1.04,2.52,1.36,2.4
